SEXDSTN_FLAG_CD=F,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM=First,ANSWRR_OC_AREA_NM=Third,ANSWRR_OC_AREA_NM=Second,ANSWRR_OC_AREA_NM=Fourth,HSHLD_INCOME_DGREE_NM=Second,HSHLD_INCOME_DGREE_NM=Third,HSHLD_INCOME_DGREE_NM=First,HSHLD_INCOME_DGREE_NM=Fourth,IN_OUT
0,50,1,0,0,0,1,0,0,0,out
1,40,1,0,0,0,0,1,0,0,out
1,50,1,0,0,0,1,0,0,0,out
0,30,1,0,0,0,0,1,0,0,out
1,20,1,0,0,0,0,1,0,0,out
1,40,1,0,0,0,0,0,1,0,out
0,30,1,0,0,0,1,0,0,0,out
1,30,1,0,0,0,1,0,0,0,out
0,40,1,0,0,0,1,0,0,0,out
1,20,1,0,0,0,0,0,1,0,out
1,50,1,0,0,0,0,0,1,0,out
0,40,1,0,0,0,0,1,0,0,out
0,30,1,0,0,0,0,0,1,0,out
1,50,1,0,0,0,0,1,0,0,out
1,30,1,0,0,0,0,0,1,0,out
0,50,1,0,0,0,1,0,0,0,out
0,60,1,0,0,0,0,0,1,0,out
1,30,1,0,0,0,0,0,0,1,out
0,40,1,0,0,0,1,0,0,0,out
1,20,1,0,0,0,0,0,0,1,out
1,60,1,0,0,0,1,0,0,0,out
0,60,1,0,0,0,0,0,1,0,out
1,60,0,1,0,0,1,0,0,0,out
0,60,0,0,1,0,1,0,0,0,out
0,30,0,1,0,0,0,0,0,1,out
1,50,1,0,0,0,1,0,0,0,out
1,40,1,0,0,0,1,0,0,0,out
0,50,1,0,0,0,1,0,0,0,out
1,60,0,0,1,0,0,0,0,1,out
1,40,1,0,0,0,0,0,0,1,out
0,60,0,1,0,0,0,0,1,0,out
1,30,1,0,0,0,1,0,0,0,out
1,50,1,0,0,0,1,0,0,0,out
0,40,0,1,0,0,0,0,1,0,out
1,30,0,0,1,0,0,0,1,0,out
0,50,0,1,0,0,1,0,0,0,out
0,60,1,0,0,0,0,0,1,0,out
0,30,0,1,0,0,0,0,1,0,out
1,20,0,0,1,0,0,1,0,0,out
0,30,1,0,0,0,0,0,1,0,out
1,60,0,1,0,0,0,0,1,0,out
0,50,0,1,0,0,0,0,1,0,out
0,20,1,0,0,0,0,0,1,0,out
1,30,1,0,0,0,1,0,0,0,out
0,20,0,0,1,0,0,1,0,0,out
0,30,0,1,0,0,1,0,0,0,out
0,30,1,0,0,0,0,1,0,0,out
1,30,0,0,1,0,1,0,0,0,out
0,40,1,0,0,0,0,1,0,0,out
1,30,0,0,1,0,0,0,0,1,out
0,60,1,0,0,0,1,0,0,0,out
1,50,0,1,0,0,0,1,0,0,out
1,50,0,0,1,0,1,0,0,0,out
0,20,1,0,0,0,1,0,0,0,out
0,50,1,0,0,0,0,1,0,0,out
0,30,1,0,0,0,1,0,0,0,out
0,30,1,0,0,0,0,0,1,0,out
1,20,1,0,0,0,0,0,1,0,out
1,50,0,1,0,0,0,0,1,0,out
0,30,0,1,0,0,0,0,1,0,out
0,40,1,0,0,0,0,0,1,0,out
0,30,1,0,0,0,0,0,0,1,out
0,20,0,1,0,0,0,0,1,0,out
0,50,1,0,0,0,0,0,0,1,out
0,20,0,1,0,0,0,0,1,0,out
0,50,1,0,0,0,0,0,1,0,out
1,30,0,1,0,0,0,0,0,1,out
0,30,0,1,0,0,0,0,1,0,out
1,50,1,0,0,0,0,0,0,1,out
0,20,0,1,0,0,0,1,0,0,out
0,40,1,0,0,0,1,0,0,0,out
0,60,1,0,0,0,1,0,0,0,out
0,20,0,1,0,0,1,0,0,0,out
0,50,1,0,0,0,0,0,0,1,out
0,20,1,0,0,0,0,0,1,0,out
1,30,1,0,0,0,1,0,0,0,out
1,40,0,1,0,0,1,0,0,0,out
0,50,1,0,0,0,0,1,0,0,out
1,60,0,0,1,0,0,1,0,0,out
0,30,0,1,0,0,1,0,0,0,out
1,60,1,0,0,0,0,0,1,0,out
1,60,0,1,0,0,0,0,1,0,out
1,60,1,0,0,0,0,0,1,0,out
1,40,0,1,0,0,1,0,0,0,out
0,60,0,1,0,0,0,1,0,0,out
1,50,1,0,0,0,0,0,1,0,out
0,60,0,1,0,0,0,1,0,0,out
1,40,0,1,0,0,0,0,0,1,out
1,40,1,0,0,0,0,0,1,0,out
0,20,0,1,0,0,0,0,0,1,out
1,30,0,0,1,0,1,0,0,0,out
0,40,0,1,0,0,1,0,0,0,out
0,40,1,0,0,0,1,0,0,0,out
0,20,1,0,0,0,0,0,1,0,out
0,50,1,0,0,0,1,0,0,0,out
1,30,0,1,0,0,0,0,1,0,out
0,50,0,1,0,0,0,1,0,0,out
1,50,0,1,0,0,0,0,0,1,out
1,20,0,1,0,0,0,0,0,1,out
1,60,0,0,1,0,0,0,1,0,out
1,40,0,1,0,0,0,1,0,0,out
0,30,1,0,0,0,0,1,0,0,out
0,50,0,1,0,0,0,1,0,0,out
1,30,0,1,0,0,1,0,0,0,out
1,20,0,1,0,0,0,0,1,0,out
0,30,1,0,0,0,0,1,0,0,out
1,20,0,1,0,0,0,0,1,0,out
1,40,0,1,0,0,0,0,1,0,out
1,30,1,0,0,0,0,1,0,0,out
1,50,0,1,0,0,1,0,0,0,out
0,40,1,0,0,0,0,1,0,0,out
1,20,1,0,0,0,0,0,1,0,out
1,20,0,1,0,0,0,1,0,0,out
1,60,0,1,0,0,0,0,1,0,out
0,60,1,0,0,0,1,0,0,0,out
1,50,1,0,0,0,0,0,0,1,out
1,30,0,1,0,0,0,1,0,0,out
1,20,0,0,0,1,1,0,0,0,out
1,40,1,0,0,0,0,0,1,0,out
1,50,0,1,0,0,0,1,0,0,out
0,50,0,1,0,0,0,1,0,0,out
1,50,1,0,0,0,1,0,0,0,out
0,40,1,0,0,0,0,0,1,0,out
1,60,0,1,0,0,1,0,0,0,out
1,50,1,0,0,0,0,1,0,0,out
1,20,0,1,0,0,0,0,1,0,out
0,60,0,1,0,0,0,0,1,0,out
1,40,0,0,1,0,0,0,1,0,out
0,40,1,0,0,0,0,0,0,1,out
1,30,1,0,0,0,0,0,0,1,out
1,20,1,0,0,0,0,0,1,0,out
0,40,0,0,1,0,0,0,1,0,out
0,50,1,0,0,0,0,1,0,0,out
0,50,1,0,0,0,0,0,0,1,out
1,30,1,0,0,0,1,0,0,0,out
1,50,0,0,1,0,0,1,0,0,out
1,20,1,0,0,0,1,0,0,0,out
1,40,0,1,0,0,0,1,0,0,out
1,50,1,0,0,0,0,0,0,1,out
0,60,0,1,0,0,0,1,0,0,out
0,30,0,1,0,0,0,0,0,1,out
0,50,0,0,1,0,0,0,1,0,out
0,60,0,0,1,0,0,0,0,1,out
1,50,0,1,0,0,1,0,0,0,out
1,40,1,0,0,0,0,0,1,0,out
1,50,0,1,0,0,0,0,1,0,out
1,50,1,0,0,0,0,0,1,0,out
1,60,0,1,0,0,1,0,0,0,out
0,20,0,1,0,0,0,0,1,0,out
0,40,0,1,0,0,1,0,0,0,out
1,20,0,1,0,0,1,0,0,0,out
1,50,1,0,0,0,0,1,0,0,out
1,40,0,1,0,0,0,0,1,0,out
0,30,0,1,0,0,0,0,1,0,out
1,40,0,1,0,0,0,0,0,1,out
0,40,1,0,0,0,0,1,0,0,out
0,40,1,0,0,0,0,1,0,0,out
0,20,0,1,0,0,0,1,0,0,out
1,30,1,0,0,0,0,1,0,0,out
1,20,0,1,0,0,0,1,0,0,out
1,20,0,1,0,0,0,0,1,0,out
1,50,1,0,0,0,0,1,0,0,out
0,60,1,0,0,0,0,0,1,0,out
0,50,0,1,0,0,0,1,0,0,out
1,20,0,0,1,0,0,0,1,0,out
0,50,1,0,0,0,0,0,1,0,out
0,30,0,1,0,0,0,0,0,1,out
1,50,1,0,0,0,0,1,0,0,out
0,30,1,0,0,0,0,0,0,1,out
0,20,1,0,0,0,1,0,0,0,out
1,30,0,1,0,0,0,1,0,0,out
1,20,1,0,0,0,0,0,0,1,out
0,40,1,0,0,0,1,0,0,0,out
0,30,1,0,0,0,1,0,0,0,out
1,30,0,0,1,0,0,1,0,0,out
0,20,0,1,0,0,0,0,1,0,out
0,30,0,0,0,1,1,0,0,0,out
1,60,0,0,1,0,1,0,0,0,out
1,60,0,1,0,0,0,0,1,0,out
0,20,0,0,1,0,0,0,1,0,out
0,20,1,0,0,0,1,0,0,0,out
0,30,1,0,0,0,1,0,0,0,out
1,40,0,1,0,0,0,1,0,0,out
0,50,1,0,0,0,1,0,0,0,out
1,20,0,1,0,0,0,0,0,1,out
1,60,1,0,0,0,1,0,0,0,out
0,30,1,0,0,0,0,1,0,0,out
1,30,0,0,1,0,0,0,0,1,out
1,20,0,1,0,0,0,0,1,0,out
1,40,0,1,0,0,1,0,0,0,out
0,60,1,0,0,0,0,0,0,1,out
1,20,0,0,1,0,0,0,1,0,out
1,50,0,0,1,0,1,0,0,0,out
0,40,1,0,0,0,0,0,0,1,out
1,40,0,1,0,0,0,1,0,0,out
0,20,0,1,0,0,0,0,1,0,out
0,60,0,1,0,0,0,0,1,0,out
0,60,0,0,1,0,1,0,0,0,out
0,20,1,0,0,0,0,0,1,0,out
1,60,0,1,0,0,1,0,0,0,out
0,30,1,0,0,0,0,0,1,0,out
0,30,1,0,0,0,0,0,0,1,out
0,40,1,0,0,0,1,0,0,0,out
0,40,1,0,0,0,1,0,0,0,out
0,40,0,1,0,0,0,1,0,0,out
0,40,0,0,1,0,0,1,0,0,out
1,30,0,1,0,0,1,0,0,0,out
0,20,0,0,1,0,0,0,0,1,out
0,40,0,1,0,0,1,0,0,0,out
0,60,0,1,0,0,0,1,0,0,out
0,60,1,0,0,0,0,1,0,0,out
1,40,1,0,0,0,0,0,1,0,out
0,20,0,0,1,0,0,0,0,1,out
1,30,0,0,1,0,1,0,0,0,out
0,20,0,1,0,0,0,0,1,0,out
0,50,1,0,0,0,1,0,0,0,out
0,30,0,1,0,0,0,1,0,0,out
0,50,0,1,0,0,0,1,0,0,out
1,50,1,0,0,0,0,0,0,1,out
1,60,1,0,0,0,0,0,0,1,out
0,60,0,0,1,0,0,0,1,0,out
0,50,0,1,0,0,0,0,1,0,out
0,40,1,0,0,0,1,0,0,0,out
1,60,0,0,1,0,1,0,0,0,out
1,30,0,1,0,0,0,0,0,1,out
0,40,0,1,0,0,0,0,1,0,out
0,60,0,0,1,0,0,1,0,0,out
1,50,1,0,0,0,0,0,1,0,out
1,30,0,1,0,0,0,0,0,1,out
1,60,1,0,0,0,0,0,1,0,out
1,60,1,0,0,0,0,0,1,0,out
1,40,0,0,1,0,0,0,1,0,out
1,40,1,0,0,0,0,0,0,1,out
1,40,1,0,0,0,0,0,0,1,out
0,50,1,0,0,0,1,0,0,0,out
1,50,1,0,0,0,1,0,0,0,out
0,40,0,1,0,0,1,0,0,0,out
1,40,1,0,0,0,1,0,0,0,out
1,20,1,0,0,0,0,0,0,1,out
1,40,0,1,0,0,1,0,0,0,out
1,30,1,0,0,0,0,1,0,0,out
0,60,1,0,0,0,0,0,0,1,out
0,60,1,0,0,0,1,0,0,0,out
1,40,1,0,0,0,0,0,0,1,out
0,40,1,0,0,0,1,0,0,0,out
0,50,0,1,0,0,0,1,0,0,out
1,60,1,0,0,0,0,1,0,0,out
0,20,1,0,0,0,1,0,0,0,out
1,50,1,0,0,0,0,0,0,1,out
1,60,0,0,1,0,0,1,0,0,out
0,40,0,0,0,1,0,0,1,0,out
0,60,0,1,0,0,0,1,0,0,out
0,50,1,0,0,0,0,0,1,0,out
0,40,0,1,0,0,1,0,0,0,out
0,20,0,1,0,0,0,0,1,0,out
0,30,1,0,0,0,0,0,0,1,out
1,20,1,0,0,0,1,0,0,0,out
0,30,0,0,1,0,0,1,0,0,out
0,50,1,0,0,0,0,0,0,1,out
0,40,0,1,0,0,0,0,0,1,out
0,50,1,0,0,0,0,1,0,0,out
0,60,0,1,0,0,0,1,0,0,out
1,40,0,1,0,0,1,0,0,0,out
1,50,0,1,0,0,0,1,0,0,out
0,40,0,0,1,0,0,0,0,1,out
0,30,1,0,0,0,1,0,0,0,out
0,60,1,0,0,0,0,1,0,0,out
0,40,1,0,0,0,0,0,1,0,out
0,60,1,0,0,0,1,0,0,0,out
0,20,1,0,0,0,0,0,1,0,out
1,20,1,0,0,0,1,0,0,0,out
1,20,1,0,0,0,0,1,0,0,out
1,20,0,1,0,0,0,1,0,0,out
1,20,0,1,0,0,0,0,1,0,out
1,60,0,1,0,0,0,0,1,0,out
1,40,1,0,0,0,0,0,0,1,out
0,50,1,0,0,0,0,1,0,0,out
0,20,0,1,0,0,0,0,1,0,out
0,30,0,0,0,1,0,0,1,0,out
1,20,1,0,0,0,0,0,0,1,out
1,60,1,0,0,0,0,0,1,0,out
0,50,0,1,0,0,1,0,0,0,out
0,30,0,1,0,0,0,0,1,0,out
1,30,1,0,0,0,0,0,0,1,out
0,60,1,0,0,0,1,0,0,0,out
1,50,0,0,0,1,1,0,0,0,out
1,40,1,0,0,0,1,0,0,0,out
0,60,1,0,0,0,0,0,0,1,out
0,40,1,0,0,0,0,0,0,1,out
1,60,1,0,0,0,1,0,0,0,out
1,50,0,1,0,0,1,0,0,0,out
1,50,0,0,1,0,0,0,0,1,out
0,40,0,1,0,0,0,0,0,1,out
0,50,0,1,0,0,1,0,0,0,out
1,50,0,1,0,0,0,0,1,0,out
1,60,1,0,0,0,0,0,1,0,out
1,60,1,0,0,0,0,1,0,0,out
0,20,0,1,0,0,0,0,0,1,out
0,40,0,0,1,0,0,0,0,1,out
1,30,0,1,0,0,0,0,1,0,out
1,50,0,1,0,0,0,0,1,0,out
1,50,1,0,0,0,1,0,0,0,out
0,30,1,0,0,0,0,1,0,0,out
1,20,1,0,0,0,1,0,0,0,out
1,20,1,0,0,0,0,1,0,0,out
1,20,0,1,0,0,0,0,1,0,out
1,40,1,0,0,0,0,0,1,0,out
0,50,0,1,0,0,0,0,0,1,out
0,20,1,0,0,0,0,0,0,1,out
0,30,1,0,0,0,1,0,0,0,out
1,50,1,0,0,0,0,0,1,0,out
1,60,0,1,0,0,0,1,0,0,out
1,40,0,1,0,0,0,0,0,1,out
1,20,1,0,0,0,0,0,1,0,out
0,30,0,0,1,0,0,0,1,0,out
1,60,1,0,0,0,0,1,0,0,out
1,60,0,0,1,0,1,0,0,0,out
1,60,1,0,0,0,0,1,0,0,out
0,40,1,0,0,0,0,1,0,0,out
0,30,1,0,0,0,1,0,0,0,out
1,50,1,0,0,0,0,1,0,0,out
0,50,0,0,1,0,1,0,0,0,out
0,40,1,0,0,0,0,0,1,0,out
0,50,1,0,0,0,0,1,0,0,out
0,20,0,0,1,0,1,0,0,0,out
1,40,1,0,0,0,0,0,1,0,out
0,60,0,1,0,0,0,0,1,0,out
0,50,0,1,0,0,0,0,1,0,out
0,30,0,0,1,0,0,0,1,0,out
0,60,1,0,0,0,0,0,1,0,out
0,20,0,1,0,0,0,0,1,0,out
0,60,0,1,0,0,1,0,0,0,out
1,50,1,0,0,0,0,0,0,1,out
0,30,1,0,0,0,1,0,0,0,out
0,20,0,1,0,0,0,0,1,0,out
1,50,1,0,0,0,0,1,0,0,out
0,50,1,0,0,0,0,1,0,0,out
1,50,1,0,0,0,0,0,0,1,out
0,50,1,0,0,0,0,0,0,1,out
1,40,0,1,0,0,0,1,0,0,out
0,40,0,1,0,0,1,0,0,0,out
0,20,0,1,0,0,0,1,0,0,out
0,40,0,0,0,1,1,0,0,0,out
0,20,1,0,0,0,0,0,1,0,out
0,50,0,1,0,0,1,0,0,0,out
1,40,1,0,0,0,0,1,0,0,out
0,60,1,0,0,0,1,0,0,0,out
1,40,0,1,0,0,1,0,0,0,out
1,60,0,1,0,0,0,0,1,0,out
0,40,1,0,0,0,0,0,0,1,out
1,40,1,0,0,0,0,0,0,1,out
0,30,0,1,0,0,0,0,1,0,out
